Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
345,ArrayItem,1,PhpParser\Node\Expr\ArrayItem,none,23,5,0,0,510,none,0,0,2,0,0
346,ArrayItemRemoval,2,PhpParser\Node\Expr\Array_,none,22,5,0,0,510,none,0,0,2,0,0
347,MethodCallRemoval,2,PhpParser\Node\Stmt\Expression,none,22,0,0,0,510,none,0,0,0,0,0
348,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,26,0,0,0,170,none,0,0,0,0,0
349,ArrayItemRemoval,2,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Expression,29,5,1,0,340,none,0,0,2,0,0
350,MethodCallRemoval,2,PhpParser\Node\Stmt\Expression,none,29,0,0,0,340,none,0,0,0,0,0
351,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,36,0,0,0,170,none,0,0,0,0,0
352,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,38,0,0,0,170,none,0,0,0,0,0
353,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,40,0,0,0,340,none,0,0,0,0,0
354,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,15,0,0,0,73950,none,0,0,0,0,0
355,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,48,0,0,0,510,none,0,0,0,0,0
356,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,54,0,0,0,170,none,0,0,0,0,0
357,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,61,0,0,0,170,none,0,0,0,0,0
358,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,62,0,0,0,170,none,0,0,0,0,0
359,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,57,0,0,0,4760,none,0,0,0,0,0
360,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,68,0,0,0,33,none,0,0,0,0,1
361,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,73,0,0,0,31,none,0,0,0,0,1
362,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,78,0,0,0,27,none,0,0,0,0,1
363,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,82,0,0,0,31,none,0,0,0,0,1
364,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,87,0,0,0,26,none,0,0,0,0,1
365,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,91,0,0,0,37,none,0,0,0,0,1
366,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,96,0,0,0,29,none,0,0,0,0,1
367,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,100,0,0,0,37,none,0,0,0,0,1
368,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,105,0,0,0,29,none,0,0,0,0,1
369,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,109,0,0,0,25,none,0,0,0,0,1
370,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,114,0,0,0,23,none,0,0,0,0,1
371,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,67,0,0,0,498,none,0,0,0,0,0
372,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,65,0,0,0,36072,none,0,0,0,0,0
373,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,123,4,0,0,2,none,0,0,1,0,1
374,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,124,4,0,0,2,none,0,0,1,0,1
375,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,129,0,0,0,2,none,0,0,0,0,1
376,This,1,PhpParser\Node\Stmt\Return_,none,131,0,0,0,2,none,0,0,0,0,1
377,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,122,0,0,0,180,none,0,0,0,0,0
378,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,135,4,0,0,2,none,0,0,1,0,1
379,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,136,4,0,0,1,none,0,0,1,0,1
380,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,141,0,0,0,2,none,0,0,0,0,1
381,This,1,PhpParser\Node\Stmt\Return_,none,143,0,0,0,2,none,0,0,0,0,0
382,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,134,0,0,0,179,none,0,0,0,0,0
383,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,120,0,0,0,13754,none,0,0,0,0,0
384,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,153,0,0,0,8500,none,0,0,0,0,0
