Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
219,Identical,3,PhpParser\Node\Expr\BinaryOp\Identical,none,127,1,0,0,147,none,0,0,2,0,1
220,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,128,0,0,0,144,none,0,0,0,0,1
221,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,128,0,0,0,144,none,0,0,0,0,1
222,ArrayItemRemoval,3,PhpParser\Node\Expr\Array_,none,128,1,0,0,144,none,0,0,2,0,1
223,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,none,129,1,0,0,87,none,0,0,2,0,1
224,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,130,0,0,0,11,none,0,0,0,0,1
225,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,130,0,0,0,11,none,0,0,0,0,1
226,ArrayItemRemoval,3,PhpParser\Node\Expr\Array_,none,130,1,0,0,11,none,0,0,2,0,1
227,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,132,0,0,0,84,none,0,0,0,0,1
228,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,132,0,0,0,84,none,0,0,0,0,1
229,ArrayItemRemoval,3,PhpParser\Node\Expr\Array_,none,132,1,0,0,84,none,0,0,2,0,1
230,IncrementInteger,5,PhpParser\Node\Scalar\LNumber,none,135,0,0,0,11,none,0,0,0,0,1
231,OneZeroInteger,5,PhpParser\Node\Scalar\LNumber,none,135,0,0,0,11,none,0,0,0,0,1
232,Identical,5,PhpParser\Node\Expr\BinaryOp\Identical,none,135,1,0,0,11,none,0,0,2,0,1
233,Identical,5,PhpParser\Node\Expr\BinaryOp\Identical,none,135,1,0,0,11,none,0,0,2,0,1
234,LogicalOr,5,PhpParser\Node\Expr\BinaryOp\BooleanOr,none,135,1,0,0,11,none,0,0,2,0,1
235,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,136,0,0,0,6,none,0,0,0,0,1
236,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,136,0,0,0,6,none,0,0,0,0,1
237,ArrayItemRemoval,3,PhpParser\Node\Expr\Array_,none,136,1,0,0,6,none,0,0,2,0,1
238,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,none,137,1,0,0,6,none,0,0,2,0,0
239,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,138,0,0,0,3,none,0,0,0,0,1
240,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,138,0,0,0,3,none,0,0,0,0,1
241,ArrayItemRemoval,3,PhpParser\Node\Expr\Array_,none,138,1,0,0,3,none,0,0,2,0,1
242,Throw_,1,PhpParser\Node\Stmt\Throw_,none,140,0,0,0,6,none,0,0,0,0,1
243,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,none,145,1,0,0,8,none,0,0,2,0,1
244,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,146,0,0,0,7,none,0,0,0,0,1
245,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,146,0,0,0,7,none,0,0,0,0,1
246,ArrayItemRemoval,3,PhpParser\Node\Expr\Array_,none,146,1,0,0,7,none,0,0,2,0,1
247,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,none,147,1,0,0,8,none,0,0,2,0,1
248,Throw_,1,PhpParser\Node\Stmt\Throw_,none,148,0,0,0,2,none,0,0,0,0,1
249,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,152,0,0,0,7,none,0,0,0,0,1
250,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,152,0,0,0,7,none,0,0,0,0,1
251,ArrayItemRemoval,3,PhpParser\Node\Expr\Array_,none,152,1,0,0,7,none,0,0,2,0,1
252,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,155,0,0,0,7,none,0,0,0,0,1
253,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,155,0,0,0,7,none,0,0,0,0,1
254,ArrayItemRemoval,3,PhpParser\Node\Expr\Array_,none,155,1,0,0,7,none,0,0,2,0,1
255,ArrayItemRemoval,3,PhpParser\Node\Expr\Array_,none,157,2,0,0,156,none,0,0,1,0,1
256,UnwrapArrayReduce,1,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Return_,108,2,1,0,2350,none,0,0,1,0,1
257,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,157,0,0,0,156,none,0,0,0,0,1
258,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,157,0,0,0,156,none,0,0,0,0,1
259,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,170,0,0,0,18,none,0,0,0,0,1
260,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,40,0,0,0,668,none,0,0,0,0,1
261,NotIdentical,1,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\Return_,48,1,0,0,59,none,0,0,1,0,1
262,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,46,0,0,0,236,none,0,0,0,0,1
263,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,67,2,0,0,5,none,0,0,1,0,1
264,TrueValue,1,PhpParser\Node\Expr\ConstFetch,none,68,0,0,0,1,none,0,0,0,0,1
265,UnwrapTrim,3,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Return_,71,2,1,0,4,none,0,0,1,0,1
266,GreaterThan,3,PhpParser\Node\Expr\BinaryOp\Greater,PhpParser\Node\Stmt\Return_,71,2,1,0,4,none,0,0,1,0,1
