Location,MutOperator,NumMutStmt,NodeType,StmtType,LineNum,MetStmtTotal,MetStmtIdx,MetStmtSucc,NumTests,ReturnType,TryCatch,RetByRef,MetParaCount,MetMagic,Detected
46,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,none,38,5,0,0,1,PhpParser\Node\Identifier,0,0,2,1,1
47,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,PhpParser\Node\Stmt\Expression,42,5,3,0,1,PhpParser\Node\Identifier,0,0,2,1,1
48,UnwrapStrReplace,1,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Return_,55,1,0,0,1,PhpParser\Node\Identifier,0,0,1,0,0
49,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,42,0,0,0,27,none,0,0,0,0,0
50,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,42,0,0,0,27,none,0,0,0,0,0
51,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,42,0,0,0,27,none,0,0,0,0,0
52,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,45,0,0,0,9,none,0,0,0,0,0
53,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,52,0,0,0,20,none,0,0,0,0,1
54,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,60,0,0,0,4,none,0,0,0,0,1
55,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,69,0,0,0,10,none,0,0,0,0,1
56,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,78,0,0,0,4,none,0,0,0,0,1
57,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,87,0,0,0,10,none,0,0,0,0,1
58,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,27,0,0,0,4,none,0,0,0,0,1
59,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,36,0,0,0,20,none,0,0,0,0,1
60,NotIdentical,1,PhpParser\Node\Expr\BinaryOp\NotIdentical,PhpParser\Node\Stmt\If_,24,2,0,0,9,none,0,0,3,1,1
61,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,28,0,0,0,9,none,0,0,0,0,1
62,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,45,2,0,0,1,PhpParser\Node\Name,0,0,0,0,1
63,Throw_,1,PhpParser\Node\Stmt\Throw_,none,46,0,0,0,1,none,0,0,0,0,1
64,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,57,2,0,0,1,PhpParser\Node\Name,0,0,0,0,1
65,Throw_,1,PhpParser\Node\Stmt\Throw_,none,58,0,0,0,1,none,0,0,0,0,1
66,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,69,2,0,0,1,PhpParser\Node\Name,0,0,0,0,1
67,Throw_,1,PhpParser\Node\Stmt\Throw_,none,70,0,0,0,1,none,0,0,0,0,1
68,LogicalAnd,1,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\Return_,81,1,0,0,1,PhpParser\Node\Identifier,0,0,0,0,0
69,LogicalAnd,1,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\Return_,89,1,0,0,1,PhpParser\Node\Identifier,0,0,0,0,0
70,LogicalAnd,2,PhpParser\Node\Expr\BinaryOp\BooleanAnd,none,98,1,0,0,2,PhpParser\Node\Identifier,0,0,0,0,0
71,LogicalAnd,2,PhpParser\Node\Expr\BinaryOp\BooleanAnd,none,98,1,0,0,3,PhpParser\Node\Identifier,0,0,0,0,0
72,FunctionCallRemoval,1,PhpParser\Node\Stmt\Expression,none,47,0,0,0,1,none,0,0,0,0,1
73,ArrayItemRemoval,1,PhpParser\Node\Expr\Array_,PhpParser\Node\Stmt\Expression,44,2,0,0,0,PhpParser\Node\Name,0,0,0,0,0
74,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,24,0,0,0,0,none,0,0,0,0,0
75,LogicalNot,1,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,41,3,0,0,2,PhpParser\Node\Name,0,0,0,0,1
76,Throw_,1,PhpParser\Node\Stmt\Throw_,none,42,0,0,0,1,none,0,0,0,0,1
77,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,53,0,0,0,8,none,0,0,0,0,0
78,Coalesce,1,PhpParser\Node\Expr\BinaryOp\Coalesce,PhpParser\Node\Stmt\Expression,82,2,0,0,0,PhpParser\Node\Name,0,0,5,0,0
79,Coalesce,1,PhpParser\Node\Expr\BinaryOp\Coalesce,none,85,2,0,0,0,PhpParser\Node\Name,0,0,5,0,0
80,Coalesce,1,PhpParser\Node\Expr\BinaryOp\Coalesce,none,86,2,0,0,0,PhpParser\Node\Name,0,0,5,0,0
81,Coalesce,1,PhpParser\Node\Expr\BinaryOp\Coalesce,none,87,2,0,0,0,PhpParser\Node\Name,0,0,5,0,0
82,Coalesce,1,PhpParser\Node\Expr\BinaryOp\Coalesce,none,88,2,0,0,0,PhpParser\Node\Name,0,0,5,0,0
83,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,75,0,0,0,0,none,0,0,0,0,0
84,Coalesce,1,PhpParser\Node\Expr\BinaryOp\Coalesce,PhpParser\Node\Stmt\Expression,105,4,1,0,0,PhpParser\Node\Name,0,0,0,0,0
85,LogicalOr,1,PhpParser\Node\Expr\BinaryOp\BooleanOr,none,112,4,0,0,0,PhpParser\Node\Name,0,0,0,0,0
86,Coalesce,1,PhpParser\Node\Expr\BinaryOp\Coalesce,none,113,4,0,0,0,PhpParser\Node\Name,0,0,0,0,0
87,Foreach_,1,PhpParser\Node\Stmt\Foreach_,PhpParser\Node\Stmt\Foreach_,108,4,2,0,0,PhpParser\Node\Name,0,0,0,0,0
88,Throw_,1,PhpParser\Node\Stmt\Throw_,none,121,0,0,0,0,none,0,0,0,0,0
89,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,96,0,0,0,0,none,0,0,0,0,0
90,LogicalAnd,1,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\If_,137,2,0,0,0,PhpParser\Node\Name,0,0,2,0,0
91,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,133,0,0,0,0,none,0,0,0,0,0
92,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,149,0,0,0,0,none,0,0,0,0,0
93,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,157,0,0,0,0,none,0,0,0,0,0
94,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,165,0,0,0,0,none,0,0,0,0,0
95,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,173,0,0,0,0,none,0,0,0,0,0
96,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,181,0,0,0,0,none,0,0,0,0,0
97,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,189,0,0,0,0,none,0,0,0,0,0
98,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,197,0,0,0,0,none,0,0,0,0,0
99,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,205,0,0,0,0,none,0,0,0,0,0
100,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,39,0,0,0,0,none,0,0,0,0,0
101,Coalesce,1,PhpParser\Node\Expr\BinaryOp\Coalesce,PhpParser\Node\Stmt\Expression,54,4,1,0,0,PhpParser\Node\Name,0,0,0,0,0
102,Foreach_,1,PhpParser\Node\Stmt\Foreach_,PhpParser\Node\Stmt\Foreach_,57,4,2,0,0,PhpParser\Node\Name,0,0,0,0,0
103,Throw_,1,PhpParser\Node\Stmt\Throw_,none,64,0,0,0,0,none,0,0,0,0,0
104,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,48,0,0,0,0,none,0,0,0,0,0
105,LogicalAnd,1,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\If_,79,2,0,0,0,PhpParser\Node\Name,0,0,1,0,0
106,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,76,0,0,0,0,none,0,0,0,0,0
107,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,91,0,0,0,0,none,0,0,0,0,0
108,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,99,0,0,0,0,none,0,0,0,0,0
109,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,107,0,0,0,0,none,0,0,0,0,0
110,Foreach_,1,PhpParser\Node\Stmt\Foreach_,PhpParser\Node\Stmt\Foreach_,38,2,0,0,2,PhpParser\Node\Name,0,0,4,1,0
111,UnwrapArrayValues,1,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Return_,38,1,0,0,0,PhpParser\Node\Name,0,0,4,1,0
112,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,146,0,0,0,0,none,0,0,0,0,0
113,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,157,0,0,0,0,none,0,0,0,0,0
114,Identical,1,PhpParser\Node\Expr\BinaryOp\Identical,PhpParser\Node\Stmt\If_,167,3,0,0,0,PhpParser\Node\Identifier,0,0,0,0,0
115,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,168,0,0,0,0,none,0,0,0,0,0
116,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,168,0,0,0,0,none,0,0,0,0,0
117,IntegerNegation,3,PhpParser\Node\Stmt\Return_,none,168,0,0,0,0,none,0,0,0,0,0
118,InstanceOf_,2,PhpParser\Node\Expr\Instanceof_,none,171,0,0,0,0,none,0,0,0,0,0
119,InstanceOf_,2,PhpParser\Node\Expr\Instanceof_,none,171,0,0,0,0,none,0,0,0,0,0
120,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,175,0,0,0,0,none,0,0,0,0,0
121,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,175,0,0,0,0,none,0,0,0,0,0
122,IntegerNegation,3,PhpParser\Node\Stmt\Return_,none,175,0,0,0,0,none,0,0,0,0,0
123,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,165,0,0,0,0,none,0,0,0,0,0
124,UnwrapArrayKeys,1,PhpParser\Node\Expr\FuncCall,none,193,6,0,0,0,PhpParser\Node\NullableType,0,0,1,0,0
125,UnwrapArrayIntersect,2,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Expression,191,6,1,0,0,PhpParser\Node\NullableType,0,0,1,0,0
126,UnwrapArrayIntersect,2,PhpParser\Node\Expr\FuncCall,PhpParser\Node\Stmt\Expression,191,6,1,0,0,PhpParser\Node\NullableType,0,0,1,0,0
127,Identical,4,PhpParser\Node\Expr\BinaryOp\Identical,none,204,6,0,0,0,PhpParser\Node\NullableType,0,0,1,0,0
128,GreaterThan,4,PhpParser\Node\Expr\BinaryOp\Greater,none,204,6,0,0,0,PhpParser\Node\NullableType,0,0,1,0,0
129,GreaterThanNegotiation,4,PhpParser\Node\Expr\BinaryOp\Greater,none,204,6,0,0,0,PhpParser\Node\NullableType,0,0,1,0,0
130,LogicalAnd,4,PhpParser\Node\Expr\BinaryOp\BooleanAnd,none,204,6,0,0,0,PhpParser\Node\NullableType,0,0,1,0,0
131,FunctionCall,1,PhpParser\Node\Stmt\Return_,none,205,0,0,0,0,none,0,0,0,0,0
132,PregMatchMatches,1,PhpParser\Node\Expr\FuncCall,none,211,0,0,0,0,none,0,0,0,0,0
133,DecrementInteger,3,PhpParser\Node\Scalar\LNumber,none,212,0,0,0,0,none,0,0,0,0,0
134,IncrementInteger,3,PhpParser\Node\Scalar\LNumber,none,212,0,0,0,0,none,0,0,0,0,0
135,OneZeroInteger,3,PhpParser\Node\Scalar\LNumber,none,212,0,0,0,0,none,0,0,0,0,0
136,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,188,0,0,0,0,none,0,0,0,0,0
137,LogicalNot,2,PhpParser\Node\Expr\BooleanNot,PhpParser\Node\Stmt\If_,230,2,0,0,0,PhpParser\Node\Identifier,0,0,0,0,0
138,LogicalAnd,2,PhpParser\Node\Expr\BinaryOp\BooleanAnd,PhpParser\Node\Stmt\If_,230,2,0,0,0,PhpParser\Node\Identifier,0,0,0,0,0
139,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,228,0,0,0,0,none,0,0,0,0,0
140,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,245,0,0,0,0,none,0,0,0,0,0
141,PublicVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,256,0,0,0,0,none,0,0,0,0,0
142,Assignment,1,PhpParser\Node\Expr\AssignOp\Concat,PhpParser\Node\Stmt\Expression,271,4,2,0,0,PhpParser\Node\Identifier,0,0,0,0,0
143,MethodCallRemoval,1,PhpParser\Node\Stmt\Expression,none,272,0,0,0,0,none,0,0,0,0,0
144,ProtectedVisibility,1,PhpParser\Node\Stmt\ClassMethod,none,267,0,0,0,0,none,0,0,0,0,0
