MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
CRCR5Mutator,14,5,45,1,20,6,14,10,none,4,0,0
CRCR5Mutator,10,3,45,1,20,9,11,10,none,4,0,1
CRCR5Mutator,12,4,45,1,20,13,7,10,none,4,0,1
CRCR6Mutator,14,5,45,1,20,6,14,10,none,4,0,1
CRCR6Mutator,10,3,45,1,20,9,11,10,none,4,0,1
CRCR6Mutator,12,4,45,1,20,13,7,10,none,4,0,1
ConstructorCallMutator,2,183,63,12,85,72,13,10,none,3,0,1
EmptyObjectReturnValsMutator,4,176,63,19,85,84,1,10,none,3,0,1
NegateConditionalsMutator,16,153,51,1,85,14,71,10,none,3,0,1
NegateConditionalsMutator,16,153,53,4,85,26,59,8,none,3,0,1
NegateConditionalsMutator,16,153,56,7,85,42,43,5,none,3,0,1
NegateConditionalsMutator,16,153,59,10,85,58,27,3,none,3,0,1
NonVoidMethodCallMutator,2,182,51,0,85,13,72,10,none,3,0,1
NonVoidMethodCallMutator,2,182,53,3,85,25,60,8,none,3,0,1
NonVoidMethodCallMutator,2,182,56,6,85,41,44,5,none,3,0,1
NonVoidMethodCallMutator,2,182,59,9,85,57,28,3,none,3,0,1
NonVoidMethodCallMutator,4,182,63,13,85,74,11,10,none,3,0,1
NonVoidMethodCallMutator,4,182,63,14,85,76,9,10,none,3,0,1
NonVoidMethodCallMutator,4,182,63,15,85,78,7,10,none,3,0,1
NonVoidMethodCallMutator,4,182,63,16,85,80,5,10,none,3,0,1
NonVoidMethodCallMutator,4,182,63,17,85,82,3,10,none,3,0,1
NonVoidMethodCallMutator,2,182,63,18,85,83,2,10,none,3,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,153,51,1,85,14,71,10,none,3,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,153,53,4,85,26,59,8,none,3,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,153,56,7,85,42,43,5,none,3,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,153,59,10,85,58,27,3,none,3,0,1
RemoveConditionalMutator_EQUAL_IF,16,153,51,1,85,14,71,10,none,3,0,1
RemoveConditionalMutator_EQUAL_IF,16,153,53,4,85,26,59,8,none,3,0,1
RemoveConditionalMutator_EQUAL_IF,16,153,56,7,85,42,43,5,none,3,0,1
RemoveConditionalMutator_EQUAL_IF,16,153,59,10,85,58,27,3,none,3,0,0
ReturnValsMutator,4,176,63,19,85,84,1,10,none,3,0,1
NakedReceiverMutator,4,182,63,13,85,74,11,10,none,3,0,1
NakedReceiverMutator,4,182,63,14,85,76,9,10,none,3,0,1
NakedReceiverMutator,4,182,63,15,85,78,7,10,none,3,0,1
NakedReceiverMutator,4,182,63,16,85,80,5,10,none,3,0,1
NakedReceiverMutator,4,182,63,17,85,82,3,10,none,3,0,1
ROR1Mutator,16,153,51,1,85,14,71,10,none,3,0,1
ROR1Mutator,16,153,53,4,85,26,59,8,none,3,0,1
ROR1Mutator,16,153,56,7,85,42,43,5,none,3,0,1
ROR1Mutator,16,153,59,10,85,58,27,3,none,3,0,0
ROR2Mutator,16,153,51,1,85,14,71,10,none,3,0,0
ROR2Mutator,16,153,53,4,85,26,59,8,none,3,0,0
ROR2Mutator,16,153,56,7,85,42,43,5,none,3,0,0
ROR2Mutator,16,153,59,10,85,58,27,3,none,3,0,0
ROR3Mutator,16,153,51,1,85,14,71,10,none,3,0,1
ROR3Mutator,16,153,53,4,85,26,59,8,none,3,0,1
ROR3Mutator,16,153,56,7,85,42,43,5,none,3,0,1
ROR3Mutator,16,153,59,10,85,58,27,3,none,3,0,1
ROR4Mutator,16,153,51,1,85,14,71,10,none,3,0,1
ROR4Mutator,16,153,53,4,85,26,59,8,none,3,0,1
ROR4Mutator,16,153,56,7,85,42,43,5,none,3,0,1
ROR4Mutator,16,153,59,10,85,58,27,3,none,3,0,1
ROR5Mutator,16,153,51,1,85,14,71,10,none,3,0,1
ROR5Mutator,16,153,53,4,85,26,59,8,none,3,0,1
ROR5Mutator,16,153,56,7,85,42,43,5,none,3,0,1
ROR5Mutator,16,153,59,10,85,58,27,3,none,3,0,1
ConstructorCallMutator,2,183,41,0,10,8,2,10,none,3,0,1
NullReturnValsMutator,4,176,41,1,10,9,1,10,none,3,0,1
ReturnValsMutator,4,176,41,1,10,9,1,10,none,3,0,1
NonVoidMethodCallMutator,2,184,13,1,17,12,5,50,V,3,0,0
MemberVariableMutator,2,181,13,2,17,13,4,50,V,3,0,0
NullReturnValsMutator,4,176,249,1,19,18,1,2,T,3,0,1
ReturnValsMutator,4,176,249,1,19,18,1,2,T,3,0,1
VoidMethodCallMutator,2,182,248,0,19,12,7,2,T,3,0,1
ABSMutator,10,21,248,0,19,10,9,2,T,3,0,0
UOI1Mutator,10,21,248,0,19,10,9,2,T,3,0,0
UOI2Mutator,10,21,248,0,19,10,9,2,T,3,0,0
UOI3Mutator,10,21,248,0,19,10,9,2,T,3,0,1
UOI4Mutator,10,21,248,0,19,10,9,2,T,3,0,1
NullReturnValsMutator,4,176,107,1,18,17,1,2,T,2,0,1
ReturnValsMutator,4,176,107,1,18,17,1,2,T,2,0,1
VoidMethodCallMutator,2,182,106,0,18,11,7,2,T,2,0,1
NullReturnValsMutator,4,176,450,1,17,16,1,2,T,2,0,1
ReturnValsMutator,4,176,450,1,17,16,1,2,T,2,0,1
VoidMethodCallMutator,2,182,449,0,17,10,7,2,T,2,0,1
NullReturnValsMutator,4,176,136,1,18,17,1,2,T,2,0,1
ReturnValsMutator,4,176,136,1,18,17,1,2,T,2,0,1
VoidMethodCallMutator,2,182,135,0,18,11,7,2,T,2,0,1
NullReturnValsMutator,4,176,164,1,18,17,1,2,T,2,0,1
ReturnValsMutator,4,176,164,1,18,17,1,2,T,2,0,1
VoidMethodCallMutator,2,182,163,0,18,11,7,2,T,2,0,1
NullReturnValsMutator,4,176,191,1,18,17,1,2,T,2,0,1
ReturnValsMutator,4,176,191,1,18,17,1,2,T,2,0,1
VoidMethodCallMutator,2,182,190,0,18,11,7,2,T,2,0,1
