MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
UOI3Mutator,10,21,103,1,14,11,3,1,none,3,0,0
UOI4Mutator,10,21,103,1,14,11,3,1,none,3,0,0
BooleanFalseReturnValsMutator,6,172,160,2,14,13,1,0,none,3,0,0
BooleanTrueReturnValsMutator,6,172,160,2,14,13,1,0,none,3,0,0
NonVoidMethodCallMutator,2,185,160,1,14,12,2,0,none,3,0,0
ReturnValsMutator,6,172,160,2,14,13,1,0,none,3,0,0
VoidMethodCallMutator,2,182,159,0,14,5,9,0,none,3,0,0
BooleanFalseReturnValsMutator,6,172,168,2,14,13,1,0,none,3,0,0
BooleanTrueReturnValsMutator,6,172,168,2,14,13,1,0,none,3,0,0
NonVoidMethodCallMutator,2,185,168,1,14,12,2,0,none,3,0,0
ReturnValsMutator,6,172,168,2,14,13,1,0,none,3,0,0
VoidMethodCallMutator,2,182,167,0,14,5,9,0,none,3,0,0
NonVoidMethodCallMutator,2,185,128,1,12,10,2,0,none,1,0,0
NullReturnValsMutator,4,176,128,2,12,11,1,0,none,1,0,0
ReturnValsMutator,4,176,128,2,12,11,1,0,none,1,0,0
VoidMethodCallMutator,2,182,127,0,12,5,7,0,none,1,0,0
NonVoidMethodCallMutator,2,185,176,1,12,10,2,0,none,1,0,0
NullReturnValsMutator,4,176,176,2,12,11,1,0,none,1,0,0
ReturnValsMutator,4,176,176,2,12,11,1,0,none,1,0,0
VoidMethodCallMutator,2,182,175,0,12,5,7,0,none,1,0,0
NonVoidMethodCallMutator,2,185,184,1,13,11,2,0,none,2,0,0
PrimitiveReturnsMutator,4,173,184,2,13,12,1,0,none,2,0,0
ReturnValsMutator,4,173,184,2,13,12,1,0,none,2,0,0
VoidMethodCallMutator,2,182,183,0,13,5,8,0,none,2,0,0
NonVoidMethodCallMutator,2,185,192,1,14,12,2,0,none,3,0,0
PrimitiveReturnsMutator,4,173,192,2,14,13,1,0,none,3,0,0
ReturnValsMutator,4,173,192,2,14,13,1,0,none,3,0,0
VoidMethodCallMutator,2,182,191,0,14,5,9,0,none,3,0,0
ABSMutator,10,21,192,1,14,11,3,0,none,3,0,0
UOI1Mutator,10,21,192,1,14,11,3,0,none,3,0,0
UOI2Mutator,10,21,192,1,14,11,3,0,none,3,0,0
UOI3Mutator,10,21,192,1,14,11,3,0,none,3,0,0
UOI4Mutator,10,21,192,1,14,11,3,0,none,3,0,0
NonVoidMethodCallMutator,2,185,200,1,14,12,2,0,none,3,0,0
PrimitiveReturnsMutator,4,173,200,2,14,13,1,0,none,3,0,0
ReturnValsMutator,4,173,200,2,14,13,1,0,none,3,0,0
VoidMethodCallMutator,2,182,199,0,14,5,9,0,none,3,0,0
NonVoidMethodCallMutator,2,185,208,1,14,12,2,0,none,3,0,0
PrimitiveReturnsMutator,4,173,208,2,14,13,1,0,none,3,0,0
ReturnValsMutator,4,173,208,2,14,13,1,0,none,3,0,0
VoidMethodCallMutator,2,182,207,0,14,5,9,0,none,3,0,0
ArgumentPropagationMutator,4,184,112,2,21,19,2,2,none,3,0,1
NonVoidMethodCallMutator,2,185,111,1,21,11,10,2,none,3,0,1
NonVoidMethodCallMutator,4,184,112,2,21,19,2,2,none,3,0,1
NullReturnValsMutator,4,176,112,3,21,20,1,2,none,3,0,1
ReturnValsMutator,4,176,112,3,21,20,1,2,none,3,0,1
VoidMethodCallMutator,2,182,110,0,21,5,16,2,none,3,0,1
NonVoidMethodCallMutator,2,185,120,1,13,11,2,2,none,2,0,0
PrimitiveReturnsMutator,4,172,120,2,13,12,1,2,none,2,0,0
ReturnValsMutator,4,172,120,2,13,12,1,2,none,2,0,0
VoidMethodCallMutator,2,182,119,0,13,5,8,2,none,2,0,0
ArgumentPropagationMutator,4,185,136,1,14,12,2,0,none,3,0,0
NonVoidMethodCallMutator,4,185,136,1,14,12,2,0,none,3,0,0
PrimitiveReturnsMutator,4,172,136,2,14,13,1,0,none,3,0,0
ReturnValsMutator,4,172,136,2,14,13,1,0,none,3,0,0
VoidMethodCallMutator,2,182,135,0,14,5,9,0,none,3,0,0
ABSMutator,10,21,136,1,14,11,3,0,none,3,0,0
UOI1Mutator,10,21,136,1,14,11,3,0,none,3,0,0
UOI2Mutator,10,21,136,1,14,11,3,0,none,3,0,0
UOI3Mutator,10,21,136,1,14,11,3,0,none,3,0,0
UOI4Mutator,10,21,136,1,14,11,3,0,none,3,0,0
NonVoidMethodCallMutator,2,185,144,1,14,12,2,0,none,3,0,0
PrimitiveReturnsMutator,4,172,144,2,14,13,1,0,none,3,0,0
ReturnValsMutator,4,172,144,2,14,13,1,0,none,3,0,0
VoidMethodCallMutator,2,182,143,0,14,5,9,0,none,3,0,0
NonVoidMethodCallMutator,2,185,152,1,14,12,2,0,none,3,0,0
PrimitiveReturnsMutator,4,172,152,2,14,13,1,0,none,3,0,0
ReturnValsMutator,4,172,152,2,14,13,1,0,none,3,0,0
VoidMethodCallMutator,2,182,151,0,14,5,9,0,none,3,0,0
NullReturnValsMutator,4,176,87,0,6,5,1,1,none,1,0,1
ReturnValsMutator,4,176,87,0,6,5,1,1,none,1,0,1
ArgumentPropagationMutator,4,184,233,4,45,30,15,2,none,2,0,1
NegateConditionalsMutator,8,198,231,1,45,10,35,2,none,2,0,1
NegateConditionalsMutator,8,198,232,2,45,15,30,2,none,2,0,1
NegateConditionalsMutator,8,165,232,3,45,21,24,0,none,2,0,0
NonVoidMethodCallMutator,2,185,230,0,45,5,40,2,none,2,0,1
NonVoidMethodCallMutator,4,184,233,4,45,30,15,2,none,2,0,1
NullReturnValsMutator,4,176,239,7,45,44,1,2,none,2,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,198,231,1,45,10,35,2,none,2,0,1
