MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
MemberVariableMutator,2,181,142,5,129,31,98,430,Z,9,0,1
MemberVariableMutator,2,181,156,18,129,102,27,430,Z,9,0,1
MemberVariableMutator,2,181,159,23,129,123,6,430,Z,9,0,1
ABSMutator,10,21,139,0,129,3,126,430,Z,9,0,1
ABSMutator,10,21,139,0,129,4,125,430,Z,9,0,1
ABSMutator,10,21,143,5,129,34,95,430,Z,9,0,0
ABSMutator,10,21,146,9,129,48,81,430,Z,9,0,1
ABSMutator,10,21,147,9,129,55,74,430,Z,9,0,1
ABSMutator,10,21,150,13,129,74,55,430,Z,9,0,1
ABSMutator,10,21,153,16,129,85,44,430,Z,9,0,1
ABSMutator,10,21,153,16,129,88,41,430,Z,9,0,1
ABSMutator,10,21,155,17,129,93,36,430,Z,9,0,0
ABSMutator,10,180,156,18,129,99,30,430,Z,9,0,1
ABSMutator,10,180,159,20,129,113,16,430,Z,9,0,1
ABSMutator,10,21,161,24,129,127,2,430,Z,9,0,0
AOD1Mutator,14,96,153,16,129,87,42,430,Z,9,0,1
AOD1Mutator,14,96,156,18,129,101,28,430,Z,9,0,1
AOD2Mutator,14,96,153,16,129,87,42,430,Z,9,0,1
AOD2Mutator,14,96,156,18,129,101,28,430,Z,9,0,1
AOR1Mutator,14,96,153,16,129,87,42,430,Z,9,0,1
AOR1Mutator,14,96,156,18,129,101,28,430,Z,9,0,1
AOR2Mutator,14,96,153,16,129,87,42,430,Z,9,0,1
AOR2Mutator,14,96,156,18,129,101,28,430,Z,9,0,1
AOR3Mutator,14,96,153,16,129,87,42,430,Z,9,0,1
AOR3Mutator,14,96,156,18,129,101,28,430,Z,9,0,1
AOR4Mutator,14,96,153,16,129,87,42,430,Z,9,0,1
AOR4Mutator,14,96,156,18,129,101,28,430,Z,9,0,1
CRCR1Mutator,10,3,141,3,129,20,109,430,Z,9,0,1
CRCR1Mutator,10,3,143,7,129,40,89,256,Z,9,0,1
CRCR2Mutator,12,4,141,2,129,16,113,256,Z,9,0,1
CRCR2Mutator,12,4,143,6,129,36,93,430,Z,9,0,1
CRCR2Mutator,12,4,153,16,129,86,43,430,Z,9,0,1
CRCR2Mutator,12,4,156,18,129,100,29,430,Z,9,0,1
CRCR2Mutator,12,4,159,20,129,114,15,430,Z,9,0,1
CRCR3Mutator,12,4,141,2,129,16,113,256,Z,9,0,0
CRCR3Mutator,10,3,141,3,129,20,109,430,Z,9,0,1
CRCR3Mutator,12,4,143,6,129,36,93,430,Z,9,0,0
CRCR3Mutator,10,3,143,7,129,40,89,256,Z,9,0,1
CRCR3Mutator,12,4,153,16,129,86,43,430,Z,9,0,1
CRCR3Mutator,12,4,156,18,129,100,29,430,Z,9,0,1
CRCR3Mutator,12,4,159,20,129,114,15,430,Z,9,0,1
CRCR4Mutator,12,4,141,2,129,16,113,256,Z,9,0,0
CRCR4Mutator,12,4,143,6,129,36,93,430,Z,9,0,0
CRCR4Mutator,12,4,153,16,129,86,43,430,Z,9,0,1
CRCR4Mutator,12,4,156,18,129,100,29,430,Z,9,0,1
CRCR4Mutator,12,4,159,20,129,114,15,430,Z,9,0,1
CRCR5Mutator,12,4,141,2,129,16,113,256,Z,9,0,0
CRCR5Mutator,10,3,141,3,129,20,109,430,Z,9,0,1
CRCR5Mutator,12,4,143,6,129,36,93,430,Z,9,0,1
CRCR5Mutator,10,3,143,7,129,40,89,256,Z,9,0,1
CRCR5Mutator,12,4,153,16,129,86,43,430,Z,9,0,1
CRCR5Mutator,12,4,156,18,129,100,29,430,Z,9,0,1
CRCR5Mutator,12,4,159,20,129,114,15,430,Z,9,0,1
CRCR6Mutator,12,4,141,2,129,16,113,256,Z,9,0,1
CRCR6Mutator,10,3,141,3,129,20,109,430,Z,9,0,1
CRCR6Mutator,12,4,143,6,129,36,93,430,Z,9,0,1
CRCR6Mutator,10,3,143,7,129,40,89,256,Z,9,0,1
CRCR6Mutator,12,4,153,16,129,86,43,430,Z,9,0,1
CRCR6Mutator,12,4,156,18,129,100,29,430,Z,9,0,1
CRCR6Mutator,12,4,159,20,129,114,15,430,Z,9,0,1
ROR1Mutator,16,160,139,0,129,5,124,430,Z,9,0,0
ROR1Mutator,16,154,143,5,129,35,94,430,Z,9,0,1
ROR1Mutator,16,153,155,17,129,94,35,430,Z,9,0,1
ROR1Mutator,18,164,159,20,129,115,14,430,Z,9,0,1
ROR2Mutator,16,160,139,0,129,5,124,430,Z,9,0,1
ROR2Mutator,16,154,143,5,129,35,94,430,Z,9,0,1
ROR2Mutator,16,153,155,17,129,94,35,430,Z,9,0,0
ROR2Mutator,18,164,159,20,129,115,14,430,Z,9,0,1
ROR3Mutator,16,160,139,0,129,5,124,430,Z,9,0,1
ROR3Mutator,16,154,143,5,129,35,94,430,Z,9,0,0
ROR3Mutator,16,153,155,17,129,94,35,430,Z,9,0,1
ROR3Mutator,18,164,159,20,129,115,14,430,Z,9,0,1
ROR4Mutator,16,160,139,0,129,5,124,430,Z,9,0,1
ROR4Mutator,16,154,143,5,129,35,94,430,Z,9,0,1
ROR4Mutator,16,153,155,17,129,94,35,430,Z,9,0,1
ROR4Mutator,18,164,159,20,129,115,14,430,Z,9,0,0
ROR5Mutator,16,160,139,0,129,5,124,430,Z,9,0,1
ROR5Mutator,8,198,141,1,129,15,114,430,Z,9,0,1
ROR5Mutator,16,154,143,5,129,35,94,430,Z,9,0,1
ROR5Mutator,8,199,148,11,129,63,66,430,Z,9,0,1
ROR5Mutator,16,153,155,17,129,94,35,430,Z,9,0,1
ROR5Mutator,8,199,158,19,129,108,21,430,Z,9,0,1
ROR5Mutator,18,164,159,20,129,115,14,430,Z,9,0,1
UOI1Mutator,10,21,139,0,129,3,126,430,Z,9,0,1
UOI1Mutator,10,21,139,0,129,4,125,430,Z,9,0,1
UOI1Mutator,10,21,143,5,129,34,95,430,Z,9,0,0
UOI1Mutator,10,21,146,9,129,48,81,430,Z,9,0,1
UOI1Mutator,10,21,147,9,129,55,74,430,Z,9,0,1
UOI1Mutator,10,21,150,13,129,74,55,430,Z,9,0,0
UOI1Mutator,10,21,153,16,129,85,44,430,Z,9,0,0
UOI1Mutator,10,21,153,16,129,88,41,430,Z,9,0,0
UOI1Mutator,10,21,155,17,129,93,36,430,Z,9,0,1
UOI1Mutator,10,180,156,18,129,99,30,430,Z,9,0,0
UOI1Mutator,10,180,159,20,129,113,16,430,Z,9,0,1
UOI1Mutator,10,21,161,24,129,127,2,430,Z,9,0,0
UOI2Mutator,10,21,139,0,129,3,126,430,Z,9,0,1
UOI2Mutator,10,21,139,0,129,4,125,430,Z,9,0,1
UOI2Mutator,10,21,143,5,129,34,95,430,Z,9,0,0
UOI2Mutator,10,21,146,9,129,48,81,430,Z,9,0,1
UOI2Mutator,10,21,147,9,129,55,74,430,Z,9,0,1
UOI2Mutator,10,21,150,13,129,74,55,430,Z,9,0,0
UOI2Mutator,10,21,153,16,129,85,44,430,Z,9,0,0
UOI2Mutator,10,21,153,16,129,88,41,430,Z,9,0,0
UOI2Mutator,10,21,155,17,129,93,36,430,Z,9,0,1
UOI2Mutator,10,180,156,18,129,99,30,430,Z,9,0,0
UOI2Mutator,10,180,159,20,129,113,16,430,Z,9,0,1
UOI2Mutator,10,21,161,24,129,127,2,430,Z,9,0,0
UOI3Mutator,10,21,139,0,129,3,126,430,Z,9,0,1
UOI3Mutator,10,21,139,0,129,4,125,430,Z,9,0,1
UOI3Mutator,10,21,143,5,129,34,95,430,Z,9,0,1
UOI3Mutator,10,21,146,9,129,48,81,430,Z,9,0,1
UOI3Mutator,10,21,147,9,129,55,74,430,Z,9,0,1
UOI3Mutator,10,21,150,13,129,74,55,430,Z,9,0,1
UOI3Mutator,10,21,153,16,129,85,44,430,Z,9,0,1
UOI3Mutator,10,21,153,16,129,88,41,430,Z,9,0,1
UOI3Mutator,10,21,155,17,129,93,36,430,Z,9,0,1
UOI3Mutator,10,180,156,18,129,99,30,430,Z,9,0,1
UOI3Mutator,10,180,159,20,129,113,16,430,Z,9,0,1
UOI3Mutator,10,21,161,24,129,127,2,430,Z,9,0,1
UOI4Mutator,10,21,139,0,129,3,126,430,Z,9,0,1
UOI4Mutator,10,21,139,0,129,4,125,430,Z,9,0,1
UOI4Mutator,10,21,143,5,129,34,95,430,Z,9,0,1
UOI4Mutator,10,21,146,9,129,48,81,430,Z,9,0,1
UOI4Mutator,10,21,147,9,129,55,74,430,Z,9,0,1
UOI4Mutator,10,21,150,13,129,74,55,430,Z,9,0,1
UOI4Mutator,10,21,153,16,129,85,44,430,Z,9,0,1
UOI4Mutator,10,21,153,16,129,88,41,430,Z,9,0,1
UOI4Mutator,10,21,155,17,129,93,36,430,Z,9,0,1
UOI4Mutator,10,180,156,18,129,99,30,430,Z,9,0,1
UOI4Mutator,10,180,159,20,129,113,16,430,Z,9,0,1
UOI4Mutator,10,21,161,24,129,127,2,430,Z,9,0,1
ArgumentPropagationMutator,4,185,231,1,43,13,30,295,V,3,0,1
NegateConditionalsMutator,8,198,230,0,43,5,38,296,V,3,0,1
NonVoidMethodCallMutator,4,185,231,1,43,13,30,295,V,3,0,1
NonVoidMethodCallMutator,2,185,233,3,43,20,23,296,V,3,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,198,230,0,43,5,38,296,V,3,0,1
RemoveConditionalMutator_EQUAL_IF,8,198,230,0,43,5,38,296,V,3,0,1
VoidMethodCallMutator,2,183,234,9,43,36,7,295,V,3,0,1
ROR5Mutator,8,198,230,0,43,5,38,296,V,3,0,1
InlineConstantMutator,10,3,239,1,20,10,10,431,none,2,0,1
InlineConstantMutator,10,3,239,2,20,14,6,431,none,2,0,1
NonVoidMethodCallMutator,2,182,238,0,20,4,16,432,none,2,0,1
NonVoidMethodCallMutator,2,182,239,1,20,12,8,431,none,2,0,1
NullReturnValsMutator,4,176,240,3,20,19,1,431,none,2,0,1
ReturnValsMutator,4,176,240,3,20,19,1,431,none,2,0,1
VoidMethodCallMutator,2,182,239,2,20,15,5,431,none,2,0,1
CRCR1Mutator,10,3,239,1,20,10,10,431,none,2,0,1
CRCR1Mutator,10,3,239,2,20,14,6,431,none,2,0,1
CRCR3Mutator,10,3,239,1,20,10,10,431,none,2,0,1
CRCR3Mutator,10,3,239,2,20,14,6,431,none,2,0,1
CRCR5Mutator,10,3,239,1,20,10,10,431,none,2,0,1
CRCR5Mutator,10,3,239,2,20,14,6,431,none,2,0,1
CRCR6Mutator,10,3,239,1,20,10,10,431,none,2,0,1
CRCR6Mutator,10,3,239,2,20,14,6,431,none,2,0,1
BooleanTrueReturnValsMutator,6,172,77,4,15,14,1,289,none,2,0,1
InlineConstantMutator,12,4,77,2,15,7,8,278,none,2,0,1
InlineConstantMutator,10,3,77,3,15,11,4,69,none,2,0,1
NegateConditionalsMutator,8,198,77,1,15,6,9,289,none,2,0,1
NonVoidMethodCallMutator,2,182,77,0,15,5,10,290,none,2,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,198,77,1,15,6,9,289,none,2,0,1
RemoveConditionalMutator_EQUAL_IF,8,198,77,1,15,6,9,289,none,2,0,1
ReturnValsMutator,6,172,77,4,15,14,1,289,none,2,0,1
CRCR1Mutator,10,3,77,3,15,11,4,69,none,2,0,1
CRCR2Mutator,12,4,77,2,15,7,8,278,none,2,0,1
CRCR3Mutator,12,4,77,2,15,7,8,278,none,2,0,0
CRCR3Mutator,10,3,77,3,15,11,4,69,none,2,0,1
CRCR4Mutator,12,4,77,2,15,7,8,278,none,2,0,0
CRCR5Mutator,12,4,77,2,15,7,8,278,none,2,0,1
CRCR5Mutator,10,3,77,3,15,11,4,69,none,2,0,1
CRCR6Mutator,12,4,77,2,15,7,8,278,none,2,0,1
CRCR6Mutator,10,3,77,3,15,11,4,69,none,2,0,1
ROR5Mutator,8,198,77,1,15,6,9,289,none,2,0,1
ArgumentPropagationMutator,4,185,95,4,56,34,22,306,T,5,0,1
NegateConditionalsMutator,8,199,96,5,56,40,16,306,T,5,0,1
NonVoidMethodCallMutator,2,184,91,0,56,4,52,307,T,5,0,1
NonVoidMethodCallMutator,2,184,95,3,56,33,23,306,T,5,0,1
NonVoidMethodCallMutator,4,185,95,4,56,34,22,306,T,5,0,1
NullReturnValsMutator,4,176,100,8,56,55,1,304,T,5,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,199,96,5,56,40,16,306,T,5,0,1
RemoveConditionalMutator_EQUAL_IF,8,199,96,5,56,40,16,306,T,5,0,1
ReturnValsMutator,4,176,97,6,56,44,12,60,T,5,0,1
ReturnValsMutator,4,176,100,8,56,55,1,304,T,5,0,1
ABSMutator,10,21,94,2,56,21,35,306,T,5,0,1
ABSMutator,10,21,94,2,56,22,34,306,T,5,0,1
ABSMutator,10,21,94,3,56,25,31,306,T,5,0,1
ABSMutator,10,21,95,3,56,32,24,306,T,5,0,1
ROR5Mutator,8,199,96,5,56,40,16,306,T,5,0,1
UOI1Mutator,10,21,94,2,56,21,35,306,T,5,0,1
UOI1Mutator,10,21,94,2,56,22,34,306,T,5,0,1
UOI1Mutator,10,21,94,3,56,25,31,306,T,5,0,1
UOI1Mutator,10,21,95,3,56,32,24,306,T,5,0,0
UOI2Mutator,10,21,94,2,56,21,35,306,T,5,0,1
UOI2Mutator,10,21,94,2,56,22,34,306,T,5,0,1
UOI2Mutator,10,21,94,3,56,25,31,306,T,5,0,1
UOI2Mutator,10,21,95,3,56,32,24,306,T,5,0,0
UOI3Mutator,10,21,94,2,56,21,35,306,T,5,0,1
UOI3Mutator,10,21,94,2,56,22,34,306,T,5,0,1
UOI3Mutator,10,21,94,3,56,25,31,306,T,5,0,1
UOI3Mutator,10,21,95,3,56,32,24,306,T,5,0,1
UOI4Mutator,10,21,94,2,56,21,35,306,T,5,0,1
UOI4Mutator,10,21,94,2,56,22,34,306,T,5,0,1
UOI4Mutator,10,21,94,3,56,25,31,306,T,5,0,1
UOI4Mutator,10,21,95,3,56,32,24,306,T,5,0,1
ConstructorCallMutator,2,183,115,1,42,9,33,1,V,4,0,0
ConstructorCallMutator,2,183,117,5,42,21,21,1,V,4,0,1
InlineConstantMutator,10,3,120,8,42,34,8,430,V,4,0,1
NegateConditionalsMutator,8,199,114,0,42,4,38,433,V,4,0,1
NegateConditionalsMutator,16,154,116,4,42,16,26,431,V,4,0,1
NonVoidMethodCallMutator,2,182,116,3,42,15,27,432,V,4,0,1
NonVoidMethodCallMutator,2,184,119,7,42,27,15,430,V,4,0,1
NonVoidMethodCallMutator,2,183,120,8,42,37,5,430,V,4,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,199,114,0,42,4,38,433,V,4,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,154,116,4,42,16,26,431,V,4,0,1
RemoveConditionalMutator_EQUAL_IF,8,199,114,0,42,4,38,433,V,4,0,1
RemoveConditionalMutator_EQUAL_IF,16,154,116,4,42,16,26,431,V,4,0,1
CRCR1Mutator,10,3,120,8,42,34,8,430,V,4,0,1
CRCR3Mutator,10,3,120,8,42,34,8,430,V,4,0,1
CRCR5Mutator,10,3,120,8,42,34,8,430,V,4,0,1
CRCR6Mutator,10,3,120,8,42,34,8,430,V,4,0,1
ROR1Mutator,16,154,116,4,42,16,26,431,V,4,0,1
ROR2Mutator,16,154,116,4,42,16,26,431,V,4,0,1
ROR3Mutator,16,154,116,4,42,16,26,431,V,4,0,0
ROR4Mutator,16,154,116,4,42,16,26,431,V,4,0,1
ROR5Mutator,8,199,114,0,42,4,38,433,V,4,0,1
ROR5Mutator,16,154,116,4,42,16,26,431,V,4,0,1
VoidMethodCallMutator,2,182,135,5,27,20,7,404,V,4,0,1
ConstructorCallMutator,2,183,174,2,30,10,20,1,none,3,0,1
InlineConstantMutator,10,3,177,5,30,22,8,9,none,3,0,1
NegateConditionalsMutator,16,154,173,1,30,5,25,10,none,3,0,1
NonVoidMethodCallMutator,2,182,173,0,30,4,26,11,none,3,0,1
NonVoidMethodCallMutator,2,184,176,4,30,16,14,9,none,3,0,1
NonVoidMethodCallMutator,2,183,177,5,30,25,5,9,none,3,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,154,173,1,30,5,25,10,none,3,0,1
RemoveConditionalMutator_EQUAL_IF,16,154,173,1,30,5,25,10,none,3,0,1
CRCR1Mutator,10,3,177,5,30,22,8,9,none,3,0,1
CRCR3Mutator,10,3,177,5,30,22,8,9,none,3,0,1
CRCR5Mutator,10,3,177,5,30,22,8,9,none,3,0,1
CRCR6Mutator,10,3,177,5,30,22,8,9,none,3,0,1
ROR1Mutator,16,154,173,1,30,5,25,10,none,3,0,1
ROR2Mutator,16,154,173,1,30,5,25,10,none,3,0,1
ROR3Mutator,16,154,173,1,30,5,25,10,none,3,0,0
ROR4Mutator,16,154,173,1,30,5,25,10,none,3,0,1
ROR5Mutator,16,154,173,1,30,5,25,10,none,3,0,1
ArgumentPropagationMutator,4,185,185,4,85,24,61,9,none,6,0,1
ArgumentPropagationMutator,4,185,191,11,85,64,21,4,none,6,0,1
BooleanFalseReturnValsMutator,6,172,182,2,85,10,75,7,none,6,0,1
BooleanFalseReturnValsMutator,6,172,195,16,85,84,1,6,none,6,0,1
BooleanTrueReturnValsMutator,6,172,182,2,85,10,75,7,none,6,0,1
BooleanTrueReturnValsMutator,6,172,187,8,85,43,42,3,none,6,0,0
InlineConstantMutator,12,4,186,6,85,34,51,8,none,6,0,1
InlineConstantMutator,10,3,187,8,85,42,43,3,none,6,0,0
InlineConstantMutator,12,4,189,9,85,50,35,6,none,6,0,1
