MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
CRCR3Mutator,12,4,899,1,31,10,21,59,none,3,0,0
CRCR3Mutator,12,4,900,2,31,22,9,59,none,3,0,1
CRCR4Mutator,12,4,899,1,31,10,21,59,none,3,0,0
CRCR4Mutator,12,4,900,2,31,22,9,59,none,3,0,1
CRCR5Mutator,12,4,899,1,31,10,21,59,none,3,0,0
CRCR5Mutator,12,4,900,2,31,22,9,59,none,3,0,1
CRCR6Mutator,12,4,899,1,31,10,21,59,none,3,0,0
CRCR6Mutator,12,4,900,2,31,22,9,59,none,3,0,1
UOI1Mutator,10,21,899,1,31,9,22,59,none,3,0,0
UOI1Mutator,10,180,900,2,31,20,11,59,none,3,0,0
UOI1Mutator,10,21,900,2,31,25,6,59,none,3,0,0
UOI2Mutator,10,21,899,1,31,9,22,59,none,3,0,0
UOI2Mutator,10,180,900,2,31,20,11,59,none,3,0,0
UOI2Mutator,10,21,900,2,31,25,6,59,none,3,0,0
UOI3Mutator,10,21,899,1,31,9,22,59,none,3,0,0
UOI3Mutator,10,180,900,2,31,20,11,59,none,3,0,1
UOI3Mutator,10,21,900,2,31,25,6,59,none,3,0,1
UOI4Mutator,10,21,899,1,31,9,22,59,none,3,0,0
UOI4Mutator,10,180,900,2,31,20,11,59,none,3,0,1
UOI4Mutator,10,21,900,2,31,25,6,59,none,3,0,1
NonVoidMethodCallMutator,2,184,941,0,8,5,3,2,none,2,0,1
NonVoidMethodCallMutator,4,182,941,1,8,6,2,2,none,2,0,1
NullReturnValsMutator,4,176,941,2,8,7,1,2,none,2,0,1
ReturnValsMutator,4,176,941,2,8,7,1,2,none,2,0,1
NakedReceiverMutator,4,182,941,1,8,6,2,2,none,2,0,1
ABSMutator,10,24,941,0,8,4,4,2,none,2,0,1
UOI1Mutator,10,24,941,0,8,4,4,2,none,2,0,0
UOI2Mutator,10,24,941,0,8,4,4,2,none,2,0,0
UOI3Mutator,10,24,941,0,8,4,4,2,none,2,0,1
UOI4Mutator,10,24,941,0,8,4,4,2,none,2,0,1
NonVoidMethodCallMutator,2,184,931,0,8,5,3,2,none,2,0,1
NonVoidMethodCallMutator,4,182,931,1,8,6,2,2,none,2,0,1
NullReturnValsMutator,4,176,931,2,8,7,1,2,none,2,0,1
ReturnValsMutator,4,176,931,2,8,7,1,2,none,2,0,1
NakedReceiverMutator,4,182,931,1,8,6,2,2,none,2,0,1
ABSMutator,10,23,931,0,8,4,4,2,none,2,0,1
UOI1Mutator,10,23,931,0,8,4,4,2,none,2,0,0
UOI2Mutator,10,23,931,0,8,4,4,2,none,2,0,0
UOI3Mutator,10,23,931,0,8,4,4,2,none,2,0,1
UOI4Mutator,10,23,931,0,8,4,4,2,none,2,0,1
NonVoidMethodCallMutator,2,184,911,0,8,5,3,2,none,2,0,1
NonVoidMethodCallMutator,4,182,911,1,8,6,2,2,none,2,0,1
NullReturnValsMutator,4,176,911,2,8,7,1,2,none,2,0,1
ReturnValsMutator,4,176,911,2,8,7,1,2,none,2,0,1
NakedReceiverMutator,4,182,911,1,8,6,2,2,none,2,0,1
ABSMutator,10,21,911,0,8,4,4,2,none,2,0,0
UOI1Mutator,10,21,911,0,8,4,4,2,none,2,0,0
UOI2Mutator,10,21,911,0,8,4,4,2,none,2,0,0
UOI3Mutator,10,21,911,0,8,4,4,2,none,2,0,1
UOI4Mutator,10,21,911,0,8,4,4,2,none,2,0,1
NonVoidMethodCallMutator,2,184,921,0,8,5,3,2,none,2,0,1
NonVoidMethodCallMutator,4,182,921,1,8,6,2,2,none,2,0,1
NullReturnValsMutator,4,176,921,2,8,7,1,2,none,2,0,1
ReturnValsMutator,4,176,921,2,8,7,1,2,none,2,0,1
NakedReceiverMutator,4,182,921,1,8,6,2,2,none,2,0,1
ABSMutator,10,22,921,0,8,4,4,2,none,2,0,1
UOI1Mutator,10,22,921,0,8,4,4,2,none,2,0,0
UOI2Mutator,10,22,921,0,8,4,4,2,none,2,0,0
UOI3Mutator,10,22,921,0,8,4,4,2,none,2,0,1
UOI4Mutator,10,22,921,0,8,4,4,2,none,2,0,1
ArgumentPropagationMutator,6,182,523,4,70,21,49,0,none,2,0,0
NegateConditionalsMutator,8,199,519,0,70,4,66,16,none,2,0,1
NegateConditionalsMutator,16,153,522,3,70,15,55,16,none,2,0,1
NegateConditionalsMutator,16,153,525,6,70,28,42,16,none,2,0,1
NegateConditionalsMutator,16,153,528,9,70,41,29,16,none,2,0,1
NegateConditionalsMutator,16,153,531,12,70,54,16,16,none,2,0,1
NonVoidMethodCallMutator,4,182,520,1,70,8,62,0,none,2,0,0
NonVoidMethodCallMutator,6,182,523,4,70,21,49,0,none,2,0,0
NonVoidMethodCallMutator,4,182,526,7,70,34,36,0,none,2,0,0
NonVoidMethodCallMutator,4,182,529,10,70,47,23,0,none,2,0,0
NonVoidMethodCallMutator,4,182,532,13,70,60,10,0,none,2,0,0
NonVoidMethodCallMutator,2,185,534,15,70,67,3,16,none,2,0,1
NonVoidMethodCallMutator,4,182,534,16,70,68,2,16,none,2,0,1
NullReturnValsMutator,4,176,520,2,70,9,61,0,none,2,0,0
NullReturnValsMutator,4,176,523,5,70,22,48,0,none,2,0,0
NullReturnValsMutator,4,176,526,8,70,35,35,0,none,2,0,0
NullReturnValsMutator,4,176,529,11,70,48,22,0,none,2,0,0
NullReturnValsMutator,4,176,532,14,70,61,9,0,none,2,0,0
NullReturnValsMutator,4,176,534,17,70,69,1,16,none,2,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,199,519,0,70,4,66,16,none,2,0,0
RemoveConditionalMutator_EQUAL_ELSE,16,153,522,3,70,15,55,16,none,2,0,0
RemoveConditionalMutator_EQUAL_ELSE,16,153,525,6,70,28,42,16,none,2,0,0
RemoveConditionalMutator_EQUAL_ELSE,16,153,528,9,70,41,29,16,none,2,0,0
RemoveConditionalMutator_EQUAL_ELSE,16,153,531,12,70,54,16,16,none,2,0,0
RemoveConditionalMutator_EQUAL_IF,8,199,519,0,70,4,66,16,none,2,0,1
RemoveConditionalMutator_EQUAL_IF,16,153,522,3,70,15,55,16,none,2,0,1
RemoveConditionalMutator_EQUAL_IF,16,153,525,6,70,28,42,16,none,2,0,1
RemoveConditionalMutator_EQUAL_IF,16,153,528,9,70,41,29,16,none,2,0,1
RemoveConditionalMutator_EQUAL_IF,16,153,531,12,70,54,16,16,none,2,0,1
ReturnValsMutator,4,176,520,2,70,9,61,0,none,2,0,0
ReturnValsMutator,4,176,523,5,70,22,48,0,none,2,0,0
ReturnValsMutator,4,176,526,8,70,35,35,0,none,2,0,0
ReturnValsMutator,4,176,529,11,70,48,22,0,none,2,0,0
ReturnValsMutator,4,176,532,14,70,61,9,0,none,2,0,0
ReturnValsMutator,4,176,534,17,70,69,1,16,none,2,0,1
NakedReceiverMutator,4,182,520,1,70,8,62,0,none,2,0,0
NakedReceiverMutator,6,182,523,4,70,21,49,0,none,2,0,0
NakedReceiverMutator,4,182,526,7,70,34,36,0,none,2,0,0
NakedReceiverMutator,4,182,529,10,70,47,23,0,none,2,0,0
NakedReceiverMutator,4,182,532,13,70,60,10,0,none,2,0,0
NakedReceiverMutator,4,182,534,16,70,68,2,16,none,2,0,1
ROR1Mutator,16,153,522,3,70,15,55,16,none,2,0,1
ROR1Mutator,16,153,525,6,70,28,42,16,none,2,0,1
ROR1Mutator,16,153,528,9,70,41,29,16,none,2,0,1
ROR1Mutator,16,153,531,12,70,54,16,16,none,2,0,1
ROR2Mutator,16,153,522,3,70,15,55,16,none,2,0,0
ROR2Mutator,16,153,525,6,70,28,42,16,none,2,0,0
ROR2Mutator,16,153,528,9,70,41,29,16,none,2,0,0
ROR2Mutator,16,153,531,12,70,54,16,16,none,2,0,0
ROR3Mutator,16,153,522,3,70,15,55,16,none,2,0,1
ROR3Mutator,16,153,525,6,70,28,42,16,none,2,0,1
ROR3Mutator,16,153,528,9,70,41,29,16,none,2,0,1
ROR3Mutator,16,153,531,12,70,54,16,16,none,2,0,1
ROR4Mutator,16,153,522,3,70,15,55,16,none,2,0,0
ROR4Mutator,16,153,525,6,70,28,42,16,none,2,0,0
ROR4Mutator,16,153,528,9,70,41,29,16,none,2,0,0
ROR4Mutator,16,153,531,12,70,54,16,16,none,2,0,0
ROR5Mutator,8,199,519,0,70,4,66,16,none,2,0,1
ROR5Mutator,16,153,522,3,70,15,55,16,none,2,0,1
ROR5Mutator,16,153,525,6,70,28,42,16,none,2,0,1
ROR5Mutator,16,153,528,9,70,41,29,16,none,2,0,1
ROR5Mutator,16,153,531,12,70,54,16,16,none,2,0,1
NegateConditionalsMutator,8,199,548,0,20,4,16,14,none,4,0,1
NonVoidMethodCallMutator,4,182,549,1,20,8,12,0,none,4,0,0
NonVoidMethodCallMutator,2,185,551,3,20,15,5,14,none,4,0,1
NonVoidMethodCallMutator,4,182,551,4,20,18,2,14,none,4,0,1
NullReturnValsMutator,4,176,549,2,20,9,11,0,none,4,0,0
NullReturnValsMutator,4,176,551,5,20,19,1,14,none,4,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,199,548,0,20,4,16,14,none,4,0,0
RemoveConditionalMutator_EQUAL_IF,8,199,548,0,20,4,16,14,none,4,0,1
ReturnValsMutator,4,176,549,2,20,9,11,0,none,4,0,0
ReturnValsMutator,4,176,551,5,20,19,1,14,none,4,0,1
NakedReceiverMutator,4,182,549,1,20,8,12,0,none,4,0,0
NakedReceiverMutator,4,182,551,4,20,18,2,14,none,4,0,1
ABSMutator,10,21,551,4,20,16,4,14,none,4,0,1
ABSMutator,10,21,551,4,20,17,3,14,none,4,0,1
ROR5Mutator,8,199,548,0,20,4,16,14,none,4,0,1
UOI1Mutator,10,21,551,4,20,16,4,14,none,4,0,0
UOI1Mutator,10,21,551,4,20,17,3,14,none,4,0,0
UOI2Mutator,10,21,551,4,20,16,4,14,none,4,0,0
UOI2Mutator,10,21,551,4,20,17,3,14,none,4,0,0
UOI3Mutator,10,21,551,4,20,16,4,14,none,4,0,1
UOI3Mutator,10,21,551,4,20,17,3,14,none,4,0,1
UOI4Mutator,10,21,551,4,20,16,4,14,none,4,0,1
UOI4Mutator,10,21,551,4,20,17,3,14,none,4,0,1
NegateConditionalsMutator,8,199,501,0,31,4,27,31,none,2,0,1
NegateConditionalsMutator,16,153,504,3,31,15,16,31,none,2,0,1
NonVoidMethodCallMutator,4,182,502,1,31,8,23,7,none,2,0,1
NonVoidMethodCallMutator,4,182,505,4,31,21,10,15,none,2,0,1
NonVoidMethodCallMutator,2,182,507,6,31,28,3,16,none,2,0,1
NonVoidMethodCallMutator,4,182,507,7,31,29,2,16,none,2,0,1
NullReturnValsMutator,4,176,502,2,31,9,22,7,none,2,0,1
NullReturnValsMutator,4,176,505,5,31,22,9,15,none,2,0,1
NullReturnValsMutator,4,176,507,8,31,30,1,16,none,2,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,199,501,0,31,4,27,31,none,2,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,153,504,3,31,15,16,31,none,2,0,0
RemoveConditionalMutator_EQUAL_IF,8,199,501,0,31,4,27,31,none,2,0,1
RemoveConditionalMutator_EQUAL_IF,16,153,504,3,31,15,16,31,none,2,0,1
ReturnValsMutator,4,176,502,2,31,9,22,7,none,2,0,1
ReturnValsMutator,4,176,505,5,31,22,9,15,none,2,0,1
ReturnValsMutator,4,176,507,8,31,30,1,16,none,2,0,1
NakedReceiverMutator,4,182,502,1,31,8,23,7,none,2,0,1
NakedReceiverMutator,4,182,505,4,31,21,10,15,none,2,0,1
NakedReceiverMutator,4,182,507,7,31,29,2,16,none,2,0,1
ROR1Mutator,16,153,504,3,31,15,16,31,none,2,0,1
ROR2Mutator,16,153,504,3,31,15,16,31,none,2,0,0
ROR3Mutator,16,153,504,3,31,15,16,31,none,2,0,1
ROR4Mutator,16,153,504,3,31,15,16,31,none,2,0,0
ROR5Mutator,8,199,501,0,31,4,27,31,none,2,0,1
ROR5Mutator,16,153,504,3,31,15,16,31,none,2,0,1
ConditionalsBoundaryMutator,18,158,566,4,55,19,36,160,none,4,0,0
InlineConstantMutator,10,3,569,7,55,36,19,159,none,4,0,1
MathMutator,14,96,568,6,55,30,25,159,none,4,0,1
MathMutator,14,96,570,8,55,48,7,159,none,4,0,1
NegateConditionalsMutator,8,199,562,0,55,4,51,160,none,4,0,1
NegateConditionalsMutator,18,158,566,4,55,19,36,160,none,4,0,1
NonVoidMethodCallMutator,4,182,563,1,55,8,47,3,none,4,0,1
NonVoidMethodCallMutator,2,182,565,3,55,14,41,160,none,4,0,1
NonVoidMethodCallMutator,2,182,567,5,55,23,32,159,none,4,0,1
NonVoidMethodCallMutator,4,182,568,6,55,31,24,159,none,4,0,1
NullReturnValsMutator,4,176,563,2,55,9,46,3,none,4,0,0
NullReturnValsMutator,4,176,572,9,55,54,1,160,none,4,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,199,562,0,55,4,51,160,none,4,0,1
RemoveConditionalMutator_EQUAL_IF,8,199,562,0,55,4,51,160,none,4,0,1
RemoveConditionalMutator_ORDER_ELSE,18,158,566,4,55,19,36,160,none,4,0,1
RemoveConditionalMutator_ORDER_IF,18,158,566,4,55,19,36,160,none,4,0,0
ReturnValsMutator,4,176,563,2,55,9,46,3,none,4,0,0
ReturnValsMutator,4,176,572,9,55,54,1,160,none,4,0,1
VoidMethodCallMutator,2,182,569,7,55,41,14,159,none,4,0,1
MemberVariableMutator,2,181,570,8,55,49,6,159,none,4,0,1
NakedReceiverMutator,4,182,563,1,55,8,47,3,none,4,0,1
NakedReceiverMutator,4,182,568,6,55,31,24,159,none,4,0,1
ABSMutator,10,21,566,4,55,18,37,160,none,4,0,1
ABSMutator,10,21,568,6,55,28,27,159,none,4,0,1
ABSMutator,10,21,568,6,55,29,26,159,none,4,0,1
ABSMutator,10,21,569,7,55,37,18,159,none,4,0,1
ABSMutator,10,21,569,7,55,40,15,159,none,4,0,1
ABSMutator,10,180,570,8,55,46,9,159,none,4,0,1
ABSMutator,10,21,570,8,55,47,8,159,none,4,0,1
AOD1Mutator,14,96,568,6,55,30,25,159,none,4,0,1
AOD1Mutator,14,96,570,8,55,48,7,159,none,4,0,1
AOD2Mutator,14,96,568,6,55,30,25,159,none,4,0,1
